marca,categoria,producto,preciounitario
Dell,Laptop,Dell Inspiron 15,850.00
HP,Laptop,HP Pavilion 14,750.00
Lenovo,Laptop,Lenovo ThinkPad E15,900.00
ASUS,Laptop,ASUS VivoBook 15,800.00
Acer,Laptop,Acer Aspire 5,700.00
Apple,Laptop,MacBook Air,1200.00
MSI,Laptop,MSI Modern 14,950.00
Dell,Laptop,Dell XPS 13,1050.00
HP,Laptop,HP Spectre x360,1100.00
Lenovo,Laptop,Lenovo Yoga 7i,980.00
Dell,Desktop,Dell OptiPlex 7070,650.00
HP,Desktop,HP EliteDesk 800,680.00
Lenovo,Desktop,Lenovo ThinkCentre M720,600.00
ASUS,Desktop,ASUS ExpertCenter,630.00
Acer,Desktop,Acer Veriton X,550.00
Apple,Desktop,iMac 21.5 pulgadas,1100.00
MSI,Desktop,MSI Cubi 5,620.00
Dell,Desktop,Dell Inspiron Desktop,500.00
HP,Desktop,HP ProDesk 400,540.00
Lenovo,Desktop,Lenovo IdeaCentre 3,560.00
Dell,Monitor,Dell UltraSharp 24,300.00
HP,Monitor,HP 24mh,280.00
LG,Monitor,LG 27UL850,400.00
Samsung,Monitor,Samsung Odyssey G7,450.00
ASUS,Monitor,ASUS ProArt PA248Q,350.00
Acer,Monitor,Acer R240HY,200.00
Dell,Monitor,Dell P2419H,250.00
HP,Monitor,HP VH240a,190.00
Lenovo,Monitor,Lenovo ThinkVision T24i-10,230.00
BenQ,Monitor,BenQ GW2480,210.00
Apple,Tablet,iPad Pro 11,800.00
Samsung,Tablet,Samsung Galaxy Tab S7,650.00
Lenovo,Tablet,Lenovo Tab M10,300.00
Microsoft,Tablet,Surface Go 2,550.00
Amazon,Tablet,Fire HD 10,150.00
Huawei,Tablet,Huawei MatePad T10,250.00
ASUS,Tablet,Asus ZenPad 10,350.00
Google,Tablet,Google Pixel Slate,600.00
Dell,Tablet,Dell Venue 8 Pro,200.00
HP,Tablet,HP Chromebook x2,400.00
Logitech,Accesorio,Logitech MX Master 3,100.00
Razer,Accesorio,Razer DeathAdder V2,70.00
Corsair,Accesorio,Corsair K95 RGB,150.00
Microsoft,Accesorio,Microsoft Sculpt Ergonomic,130.00
Logitech,Accesorio,Logitech G502,90.00
Razer,Accesorio,Razer BlackWidow,120.00
Corsair,Accesorio,Corsair Scimitar,80.00
HP,Accesorio,HP Wireless Keyboard,40.00
Dell,Accesorio,Dell KM117 Wireless,45.00
Lenovo,Accesorio,Lenovo Preferred Pro,50.00
Samsung,Componentes,Samsung 970 EVO SSD 1TB,150.00
Western Digital,Componentes,WD Blue 1TB HDD,60.00
Seagate,Componentes,Seagate Barracuda 2TB HDD,80.00
Kingston,Componentes,Kingston A2000 SSD 500GB,90.00
Crucial,Componentes,Crucial MX500 SSD 1TB,110.00
Samsung,Componentes,Samsung 980 PRO SSD 1TB,180.00
Seagate,Componentes,Seagate FireCuda 510 SSD 500GB,170.00
Western Digital,Componentes,WD Black SN750 1TB,200.00
Intel,Componentes,Intel Optane Memory 32GB,130.00
Corsair,Componentes,Corsair Vengeance LPX 16GB,75.00
NVIDIA,Componente,NVIDIA GeForce RTX 3060,400.00
AMD,Componente,AMD Radeon RX 6700 XT,480.00
NVIDIA,Componente,NVIDIA GeForce GTX 1660 Super,250.00
AMD,Componente,AMD Radeon RX 5600 XT,300.00
NVIDIA,Componente,NVIDIA GeForce RTX 3070,600.00
AMD,Componente,AMD Radeon RX 6800,700.00
NVIDIA,Componente,NVIDIA GeForce RTX 3080,800.00
AMD,Componente,AMD Radeon RX 6900 XT,1000.00
NVIDIA,Componente,NVIDIA Quadro P2200,450.00
AMD,Componente,AMD Radeon Pro W5700,650.00
Netgear,Red,Netgear Nighthawk,120.00
TP-Link,Red,TP-Link Archer C7,60.00
Cisco,Red,Cisco RV340,170.00
Linksys,Red,Linksys EA7500,100.00
D-Link,Red,D-Link DIR-850L,80.00
Netgear,Red,Netgear Orbi,250.00
TP-Link,Red,TP-Link Deco M5,200.00
Cisco,Red,Cisco Meraki Go,220.00
Linksys,Red,Linksys Velop,230.00
D-Link,Red,D-Link COVR-1102,190.00
HP,Impresora,HP LaserJet Pro MFP,300.00
Canon,Impresora,Canon Pixma G6020,280.00
Epson,Impresora,Epson EcoTank ET-4760,350.00
Brother,Impresora,Brother HL-L2350DW,200.00
Samsung,Impresora,Samsung Xpress M2020W,150.00
Ricoh,Impresora,Ricoh SP C250DN,180.00
HP,Scanner,HP ScanJet Pro,120.00
Canon,Scanner,Canon CanoScan LiDE,100.00
Epson,Scanner,Epson Perfection V39,90.00
Brother,Scanner,Brother DS-640,110.00
Logitech,Accesorio,Logitech Webcam C920,80.00
Microsoft,Accesorio,Microsoft LifeCam HD-3000,70.00
Razer,Accesorio,Razer Kraken Tournament,130.00
Corsair,Accesorio,Corsair HS60,90.00
HyperX,Accesorio,HyperX Cloud II,100.00
SteelSeries,Accesorio,SteelSeries Arctis 7,150.00
Asus,Accesorio,Asus ROG Strix Scope,110.00
Dell,Accesorio,Dell UltraSharp Webcam,85.00
Logitech,Accesorio,Logitech G Pro X,120.00
HP,Accesorio,HP Omen Gaming Mouse,75.00
